timestamp,match_id,team_a,team_b,predicted_winner,confidence,value_flag,actual_winner_x,team_a_heroes,team_b_heroes,actual_winner_y
2025-04-13 19:56:26,8253889383.0,Meld z zaskoczenia,Frankfurt Beast Reborn,Frankfurt Beast Reborn,0.66,0.0,Frankfurt Beast Reborn,"[15, 21, 60, 84, 138]","[10, 29, 35, 43, 74]",Frankfurt Beast Reborn
2025-04-13 19:03:48,8253834683.0,Frankfurt Beast Reborn,Meld z zaskoczenia,Frankfurt Beast Reborn,0.58,0.0,Frankfurt Beast Reborn,"[10, 26, 63, 96, 98]","[54, 81, 102, 108, 136]",Frankfurt Beast Reborn
2025-04-13 16:15:13,8253623162.0,Wкилеты,BRatiKI,BRatiKI,0.59,0.0,BRatiKI,"[19, 21, 29, 35, 64]","[72, 90, 94, 106, 131]",BRatiKI
2025-04-13 14:56:29,8253508795.0,Bor Tactical Gaming, Team HaliFFat, Team HaliFFat,0.58,0.0, Team HaliFFat,"[19, 64, 71, 77, 94]","[26, 53, 87, 104, 120]", Team HaliFFat
2025-04-13 14:50:30,8253499480.0,HIPPOMEN,BRatiKI,BRatiKI,0.58,0.0,BRatiKI,"[39, 79, 86, 97, 99]","[13, 42, 44, 119, 131]",BRatiKI
2025-04-13 14:17:32,8253446983.0,SevenGaming-T,Lazy,SevenGaming-T,0.63,0.0,SevenGaming-T,"[26, 35, 54, 60, 87]","[8, 29, 45, 49, 51]",SevenGaming-T
2025-04-13 13:30:10,8253370185.0,Clever moves, Team HaliFFat, Team HaliFFat,0.64,0.0, Team HaliFFat,"[10, 15, 29, 51, 64]","[7, 14, 21, 37, 54]", Team HaliFFat
2025-04-13 13:27:06,8253365256.0,HIPPOMEN,Deep Sea Predators,HIPPOMEN,0.58,0.0,HIPPOMEN,"[7, 73, 79, 86, 107]","[15, 42, 46, 64, 138]",HIPPOMEN
2025-04-13 13:24:53,8253361822.0,KOROLI FIDA,TEAM EGGS,KOROLI FIDA,0.53,0.0,KOROLI FIDA,"[8, 17, 38, 64, 68]","[14, 44, 105, 114, 128]",KOROLI FIDA
2025-04-13 13:22:54,8253358741.0,Bor Tactical Gaming,Kastrula team,Bor Tactical Gaming,0.66,0.0,Bor Tactical Gaming,"[38, 51, 53, 77, 102]","[26, 72, 75, 98, 112]",Bor Tactical Gaming
2025-04-13 12:36:53,8253287850.0,TEIKO,Elite Eclipse,Elite Eclipse,0.65,0.0,Elite Eclipse,"[13, 19, 34, 55, 93]","[11, 18, 51, 90, 120]",Elite Eclipse
2025-04-13 12:11:11,8253250386.0,还不走,早睡早起,还不走,0.75,1.0,还不走,"[5, 13, 49, 60, 119]","[10, 55, 74, 86, 105]",还不走
2025-04-13 12:09:35,8253248072.0,HIPPOMEN,DF VA MVD,HIPPOMEN,0.67,0.0,HIPPOMEN,"[47, 49, 60, 64, 86]","[8, 76, 87, 108, 112]",HIPPOMEN
2025-04-13 12:08:11,8253246071.0,Team Casual,Wкилеты,Wкилеты,0.75,1.0,Wкилеты,"[46, 61, 75, 86, 129]","[21, 42, 64, 106, 135]",Wкилеты
2025-04-13 12:02:46,8253238487.0,Order of the Night,Тейко,Тейко,0.74,1.0,Тейко,"[7, 54, 87, 96, 98]","[18, 34, 37, 38, 63]",Тейко
2025-04-13 12:00:15,8253227408.0,4Pirates,Zero Tenacity,Zero Tenacity,0.65,0.0,Zero Tenacity,"[23, 29, 53, 64, 75]","[21, 28, 37, 44, 99]",Zero Tenacity
2025-04-13 11:23:58,8253186202.0,Elite Eclipse,Teiko,Teiko,0.68,0.0,Teiko,"[15, 52, 71, 94, 119]","[13, 49, 63, 75, 97]",Teiko
2025-04-13 11:19:22,8253178349.0,早睡早起,还不走,早睡早起,0.57,0.0,早睡早起,"[10, 38, 79, 105, 120]","[26, 40, 42, 72, 76]",早睡早起
2025-04-13 22:01:35,8253995285.0,PARIVISION,Team Spirit,PARIVISION,0.68,0.0,PARIVISION,"[16, 46, 68, 78, 131]","[19, 62, 75, 94, 109]",PARIVISION
2025-04-13 12:58:15,8253320335.0,4Pirates,Zero Tenacity,4Pirates,0.65,0.0,4Pirates,"[19, 38, 64, 96, 131]","[5, 21, 23, 28, 72]",4Pirates
2025-04-13 05:28:10,8252806536.0,Teiko,Dominion,Teiko,0.58,0.0,Teiko,"[48, 91, 100, 128, 129]","[21, 49, 60, 75, 106]",Teiko
2025-04-13 23:08:54,8254032946.0,Team Spirit,PARIVISION,Team Spirit,0.62,0.0,Team Spirit,"[16, 19, 34, 52, 121]","[38, 93, 94, 105, 114]",Team Spirit
2025-04-13 23:38:00,8254044543.0,REAL ECLIPSE,Moonwalkers,REAL ECLIPSE,0.7,0.0,REAL ECLIPSE,"[14, 16, 46, 95, 128]","[42, 75, 102, 111, 126]",REAL ECLIPSE
2025-04-14 09:58:35,8254387687.0,FenixTeam,BulletProofs,BulletProofs,0.75,1.0,BulletProofs,"[18, 40, 43, 96, 111]","[26, 91, 97, 136, 138]",BulletProofs
2025-04-14 08:37:30,8254331463.0,Nethercore,Business Club,Nethercore,0.7,0.0,Nethercore,"[16, 27, 52, 94, 119]","[23, 46, 84, 86, 108]",Nethercore
2025-04-14 08:11:56,8254314393.0,Flawless Goblins,Dragon Blood,Flawless Goblins,0.7,0.0,Flawless Goblins,"[11, 21, 44, 86, 114]","[14, 18, 53, 76, 84]",Flawless Goblins
2025-04-14 07:43:20,8254295052.0,Business Club,Nethercore,Nethercore,0.6,0.0,Nethercore,"[19, 26, 49, 90, 120]","[21, 70, 75, 114, 129]",Nethercore
2025-04-14 06:36:06,8254256227.0,Nethercore,Eуе Gaming,Eуе Gaming,0.64,0.0,Eуе Gaming,"[28, 44, 63, 71, 77]","[23, 60, 75, 89, 131]",Eуе Gaming
2025-04-14 06:20:59,8254247760.0,RuleBreakers,Lucky Bulldogs,Lucky Bulldogs,0.69,0.0,Lucky Bulldogs,"[16, 26, 81, 85, 129]","[22, 27, 65, 72, 104]",Lucky Bulldogs
2025-04-14 06:10:55,8254242142.0,Mad Monkeys,Bright Crusaders,Mad Monkeys,0.67,0.0,Mad Monkeys,"[4, 5, 11, 14, 49]","[44, 61, 64, 86, 105]",Mad Monkeys
2025-04-14 04:49:01,8254199529.0,Ninja Bros,Lighting Legends,Ninja Bros,0.61,0.0,Ninja Bros,"[28, 54, 101, 120, 131]","[2, 35, 44, 71, 86]",Ninja Bros
2025-04-14 04:46:51,8254198634.0,Swift Knights,Shadow Avengers,Swift Knights,0.66,0.0,Swift Knights,"[8, 68, 91, 103, 120]","[19, 37, 38, 53, 110]",Swift Knights
2025-04-14 04:05:21,8254173312.0,Lighting Legends,Ninja Bros,Lighting Legends,0.63,0.0,Lighting Legends,"[28, 35, 44, 86, 111]","[42, 71, 75, 102, 106]",Lighting Legends
2025-04-14 01:00:54,8254083847.0,Wild Dragon,TOXIC TEAM,Wild Dragon,0.65,0.0,Wild Dragon,"[46, 68, 69, 70, 86]","[26, 38, 48, 91, 94]",Wild Dragon
2025-04-14 12:11:21,8254506504.0,Solid,FaZe Clan,FaZe Clan,0.65,0.0,FaZe Clan,"[2, 5, 28, 46, 51]","[8, 23, 31, 97, 123]",FaZe Clan
2025-04-14 10:36:55,8254418065.0,Ghost Sheep,Prodigy of God,Prodigy of God,0.6,0.0,Prodigy of God,"[19, 21, 38, 92, 136]","[33, 44, 53, 62, 75]",Prodigy of God
2025-04-14 10:14:54,8254399968.0,Eye Gaming ,Teiko,Eye Gaming ,0.69,0.0,Eye Gaming ,"[7, 10, 40, 91, 136]","[16, 46, 69, 103, 112]",Eye Gaming 
2025-04-14 12:44:40,8254545420.0,Shadow Avengers,Foxy gaming,Foxy gaming,0.65,0.0,Foxy gaming,"[5, 42, 53, 74, 86]","[2, 11, 13, 22, 84]",Foxy gaming
